id	title	price	availability	country	language	additional image link	brand	color	description	gtin	image link	installment(amount:months)	link	mpn	google_product_category		condition
375_399	Banco Otomana Palissade	3850.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/161882/Otomana-Palissade_1.jpg?v=637534080741700000,http://hermanmiller.vteximg.com.br/arquivos/ids/161883/Otomana-Palissade_2.jpg?v=637534081008200000,http://hermanmiller.vteximg.com.br/arquivos/ids/161884/Otomana-Palissade_3.jpg?v=637534081191070000,http://hermanmiller.vteximg.com.br/arquivos/ids/161885/Otomana-Palissade_4.jpg?v=637534081375700000,http://hermanmiller.vteximg.com.br/arquivos/ids/161886/Otomana-Palissade_5.jpg?v=637534081562130000,http://hermanmiller.vteximg.com.br/arquivos/ids/161887/Otomana-Palissade_6.jpg?v=637534081753230000	Herman Miller	Verde	Criada pelos irmãos franceses Ronan e Erwan Bouroullec, Palissade é uma coleção de móveis para ambientes externos para a HAY, em aço com pintura eletrostática ou galvanizado a quente. Unida pelo princípio comum da geometria simétrica, a coleção Palissade foi feita para reproduzir a mesma simplicidade visual e força em todos os itens.	1000043484675	http://hermanmiller.vteximg.com.br/arquivos/ids/161882/Otomana-Palissade_1.jpg?v=637534080741700000	320.83 BRL:12	https://store.hermanmiller.com.br/banco-otomana-palissade-plon-0001_verde/p?idsku=399	PLON-0001	Outdoor > Bancos		new
56_34	Poltrona Charles Eames Off-White	58640.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/161183/ES670RE1R02_01.jpg?v=637363861220330000,http://hermanmiller.vteximg.com.br/arquivos/ids/161184/Poltrona_charles_eames_off_white_2-1-.jpg?v=637363862200570000	Herman Miller	White Ash	Quando o conjunto foi lançado em 1956, não havia nada assim, e ainda não há nada igual. Usando a cadeira club inglesa como inspiração, Charles disse que buscou projetar uma versão moderna da cadeira, uma que tivesse "a aparência calorosa e receptiva como a de uma luva de beisebol bem usada". Quase imediatamente, o projeto se tornou um ícone dos mais significativos designs de móveis do século XX — reconhecível instantaneamente e sempre original. Hoje, essas peças não só estão em museus, como continuam a oferecer conforto e estilo para interiores em todos os lugares. Uma forma universalmente reconhecida, você pode ter certeza da qualidade e autenticidade deste design      Como todos os clássicos, a poltrona e a otomana melhoram com a idade, em parte por causa de como são feitas. Do equipamento inovador que prende as almofadas às estruturas, sem estragar a aparência da madeira, e o fato de cada peça continuar a ser montada manualmente, a combinação de artesanato e consistência na fabricação resulta em peças que são genuinamente autênticas.      As almofadas não vão se achatar ou amassar com o tempo, elas têm vincos, mas esta é uma pista do conforto que ela proporciona.      O assento tem uma inclinação permanente para retirar o peso da parte inferior da coluna e distribuí-lo apropriadamente para a parte posterior da cadeira.       A almofada inferior apoia sua coluna lombar, para que você se sinta relaxado. O ângulo suporta seu peito para que você fique confortável enquanto lê, assiste a um filme ou conversa.	1000041120865	http://hermanmiller.vteximg.com.br/arquivos/ids/161183/ES670RE1R02_01.jpg?v=637363861220330000	4886.67 BRL:12	https://store.hermanmiller.com.br/poltrona-charles-eames-es670_pretawalnut/p?idsku=34	ES670RE-0001	Assentos > Poltronas & Otomanas		new
149_159	Cadeira Lino Preto	5274.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/161703/Lino-preta_01.jpg?v=637423705095730000,http://hermanmiller.vteximg.com.br/arquivos/ids/161704/Lino-preta_02.jpg?v=637423705325970000,http://hermanmiller.vteximg.com.br/arquivos/ids/161705/lino-ambientada-preta-1-1-.jpg?v=637423706096400000	Herman Miller	Preto	Apoio vertebral total     O assento contornado da Lino trabalha junto com a Suspensão dupla de alto desempenho para oferecer a você um apoio vertebral total. Além disso, os recursos da suspensão respirável também apresentam apoio lombar integrado, graças a um composto de fibras com diferentes tensões.     O conforto é a chave  Apoiando-se em mais de 50 anos de pesquisa e design líder do setor da Herman Miller, a Lino tem o mesmo DNA das nossas outras cadeiras de trabalho de alto desempenho, oferecendo para todas as pessoas um movimento equilibrado e um encaixe dinâmico.	1000043340421	http://hermanmiller.vteximg.com.br/arquivos/ids/161703/Lino-preta_01.jpg?v=637423705095730000	439.50 BRL:12	https://store.hermanmiller.com.br/cadeira-lino-mi1b325ha1_preto/p?idsku=159	MI2B325HAAJBKC74RM0623512	Assentos > Cadeiras para Trabalho		new
364_386	Bandeja para Laptop para Ollin e Flo* Bandeja para Laptop Prata para Ollin e Flo*	705.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/163668/Y95112.OL-0002-Bandeja-para-Laptop-Prata-01.jpg?v=637708670472300000,http://hermanmiller.vteximg.com.br/arquivos/ids/163669/Y95112.OL-0002-Bandeja-para-Laptop-Prata-02.jpg?v=637708670689870000,http://hermanmiller.vteximg.com.br/arquivos/ids/163670/Y95112.OL-0002-Bandeja-para-Laptop-Prata-03.jpg?v=637708670792800000,http://hermanmiller.vteximg.com.br/arquivos/ids/163671/Y95112.OL-0002-Bandeja-para-Laptop-Prata-04.jpg?v=637708670883030000,http://hermanmiller.vteximg.com.br/arquivos/ids/163672/Y95112.OL-0002-Bandeja-para-Laptop-Prata-05.jpg?v=637708672745200000,http://hermanmiller.vteximg.com.br/arquivos/ids/163673/Y95112.OL-0002-Bandeja-para-Laptop-Prata-06.jpg?v=637708672859770000	Herman Miller	Prata	Este suporte para laptop e tablet se conecta a um braço para monitor Ollin ou Flo® e eleva notebooks e tablets da superfície de trabalho até uma altura adequada para trabalhar.  Em casa ou no escritório, a combinação de braço e suporte para monitor incentiva uma boa postura, permitindo que os usuários escolham a altura, distância e ângulo ideias para o dispositivo, o que aumenta o conforto quando utilizado com mouse e teclado separados.  • Pode ser afixado a um braço para monitor Lima com uma placa VESA (não incluso) de 100mm.   • O laptop fica afixado com segurança na superfície antideslizante através de 2 travas. O mecanismo de retenção aumenta a estabilidade para posicionar tablets.	1000043411893	http://hermanmiller.vteximg.com.br/arquivos/ids/163668/Y95112.OL-0002-Bandeja-para-Laptop-Prata-01.jpg?v=637708670472300000	58.75 BRL:12	https://store.hermanmiller.com.br/ollin-laptop-mount-prata-y95112-ol_pai/p?idsku=386	Y95112.OL0I	Acessórios > Tecnologia & Escritório		new
127_408	Cadeira Cosm Baixa com braço regulável Glacier	12345.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/161898/cadeira-cosm-baixa-braco-regulavel-glacier-1.jpg?v=637534968563330000,http://hermanmiller.vteximg.com.br/arquivos/ids/161899/cadeira-cosm-baixa-braco-regulavel-glacier-2.jpg?v=637534968686700000,http://hermanmiller.vteximg.com.br/arquivos/ids/161900/cadeira-cosm-baixa-braco-regulavel-glacier-4.jpg?v=637534968848230000	Herman Miller	Glacier	Sente-se em uma cadeira Cosm. Você vai até esquecer de que está sentado em uma cadeira. Com um design sofisticado e ergonômico, ela responde imediatamente ao seu corpo, aos seus movimentos e à sua postura, de modo a proporcionar um equilíbrio natural e um suporte completo.   Sem a necessidade de ajustes, a inclinação Auto-Harmonic da Cosm coloca a pessoa em primeiro lugar e responde a ela — independentemente da postura — oferecendo uma reclinação equilibrada e conforto personalizado. O Studio 7.5 e a Herman Miller aperfeiçoaram a inclinação com ajuste automático, inventando um mecanismo de ajuste complexo, de ajuste fino. Levando em conta a força vertical da pessoa que está sentada — que está em constante fluxo — as engrenagens dentro da inclinação movem o ponto de apoio ao longo da mola em forma de folha para ajustar automaticamente a tensão da cadeira.   Com sua suspensão contínua e forma escultural, a cadeira parece ser um único objeto unificado, e não uma coleção de peças e partes. Esse senso de unidade também se reflete em sua composição material.	1000043484637	http://hermanmiller.vteximg.com.br/arquivos/ids/161898/cadeira-cosm-baixa-braco-regulavel-glacier-1.jpg?v=637534968563330000	1028.75 BRL:12	https://store.hermanmiller.com.br/cadeira-cosm-baixa-flc_baixa/p?idsku=408	FLC342SFHDB3DB3DB3OC84505	Assentos > Cadeiras para Trabalho		new
214_217	Mesa Everywhere Natural Mesa Everywhere - 76x152 - Natural	5212.50 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/160598/mesa-natural-76x152.jpg?v=637086502364530000	Herman Miller	Natural Maple	As mesas Everywhere foram projetadas com linhas elegantes e uma estética refinada, que complementam qualquer ambiente. A simplicidade das tabelas Everywhere empresta uma sensação de coesão e calma visual em um espaço.  Estudo, trabalho, videoconferências, almoços qualquer atividade que reúna as pessoas a se envolverem em seu trabalho ou uns com os outros pode ser centralizada em torno de uma mesa Everywhere.	1000043359294	http://hermanmiller.vteximg.com.br/arquivos/ids/160598/mesa-natural-76x152.jpg?v=637086502364530000	434.38 BRL:12	https://store.hermanmiller.com.br/mesa-everywhere-dt1as-2448lp-0002_madeira/p?idsku=217	DT1AS.3060LPHMHM9857NTG	Mesas > Mesas de trabalho		new
246_504	Cadeira Aeron Gaming C	13370.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/162540/HM_AERG_18081_F5_C_Transparent_1.png?v=637699266002330000,http://hermanmiller.vteximg.com.br/arquivos/ids/162541/HM_AERG_18053_F5_C_Transparent_2.png?v=637699266090300000,http://hermanmiller.vteximg.com.br/arquivos/ids/162542/HM_AERG_17979_F5_C_Transparent_3.png?v=637699266183370000,http://hermanmiller.vteximg.com.br/arquivos/ids/162543/HM_AERG_18087_F5_C_Transparent_4.png?v=637699266293230000,http://hermanmiller.vteximg.com.br/arquivos/ids/162544/HM_AERG_18013_F5_C_Transparent_5.png?v=637699266626730000,http://hermanmiller.vteximg.com.br/arquivos/ids/162545/HM_AERG_18002_F5_C_Transparent_6.png?v=637699266745570000,http://hermanmiller.vteximg.com.br/arquivos/ids/162546/HM_AERG_18115_F5_C_Transparent_7.png?v=637699266872000000,http://hermanmiller.vteximg.com.br/arquivos/ids/162547/HM_AERG_17963_F5_C_Transparent_8.png?v=637699267000600000	Herman Miller	Preto	A Aeron original é a cadeira que mudou as cadeiras de escritório para sempre. Tão confortável para pessoas atrás de seu computador de trabalho por períodos de oito horas quanto para jogadores que querem jogar o dia todo (ou noite!), Aeron for Gaming é onde o alto desempenho e a ergonomia encontram um design icônico.   Pellicle é uma suspensão elastomérica que elimina os pontos de pressão que restringem a circulação. Entre o assento e o encosto, são oito áreas de tensões que envolvem a pessoa e oferecem suporte ergonômico.   Ao descartar a espuma e o tecido, eliminamos a formação de calor e umidade junto ao corpo. A Pellicle permite manter a temperatura do corpo estável.   PostureFit SL são almofadas individuais, ajustáveis que apoiam o sacro e a lombar da coluna para imitar a posição em pé saudável.   Se uma pessoa estiver inclinada para frente para digitação ou totalmente reclinada para conversar ela descobrirá que a cadeira Aeron se move com o corpo. O mecanismo de inclinação mais leve oferece uma experiência suave de movimento ao usuário mantendo as pessoas em contato com o encosto da cadeira e no controle do seu movimento contínuo.   Aeron Gamming vem em 2 tamanhos, o que proporciona um ajuste amplamente inclusivo.	1000043589721	http://hermanmiller.vteximg.com.br/arquivos/ids/162540/HM_AERG_18081_F5_C_Transparent_1.png?v=637699266002330000	1114.17 BRL:12	https://store.hermanmiller.com.br/cadeira-aeron-gaming-aer1gc23dw_preto/p?idsku=504	AER1GC23DWALPBKBLXBKDC1BK23105	Gaming		new
151_163	Cadeira Caper Empilhável Vermelho	1203.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/161526/Caper-vermelha-frente.jpg?v=637388152168130000,http://hermanmiller.vteximg.com.br/arquivos/ids/161590/Caper-vermelha-costas-1-.jpg?v=637388849038200000	Herman Miller	Vermelho	Contornadas para proporcionar conforto e flexibilidade, e coloridas o suficiente para iluminar qualquer ambiente  Uma cadeira perfeitamente portátil, a Caper é projetada para ser movida. Junte algumas Capers para trabalhos colaborativos. A Caper é leve e durável, sendo ideal para espaços informais e flexíveis, onde a reorganização é incentivada.	1000043340520	http://hermanmiller.vteximg.com.br/arquivos/ids/161526/Caper-vermelha-frente.jpg?v=637388152168130000	100.25 BRL:12	https://store.hermanmiller.com.br/cadeira-caper-empilhavel-wc410n-0001_azulescuro/p?idsku=163	WC410N-0003	Assentos > Cadeiras Multiuso		new
54_241	Braço articulável para monitor Flo Branco	2125.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/161191/suporte_monitor_Flo_branco_4.jpg?v=637363865476670000,http://hermanmiller.vteximg.com.br/arquivos/ids/161192/suporte_monitor_Flo_branco_5.jpg?v=637363865691230000,http://hermanmiller.vteximg.com.br/arquivos/ids/161193/suporte_monitor_Flo_branco_6.jpg?v=637363865915630000,http://hermanmiller.vteximg.com.br/arquivos/ids/161194/suporte_monitor_Flo_branco_7.jpg?v=637363866111570000,http://hermanmiller.vteximg.com.br/arquivos/ids/161195/suporte_monitor_Flo_branco_8.jpg?v=637363866305670000,http://hermanmiller.vteximg.com.br/arquivos/ids/161196/suporte_monitor_Flo_branco_9.jpg?v=637363866484670000,http://hermanmiller.vteximg.com.br/arquivos/ids/161197/suporte_monitor_Flo_branco_10-.jpg?v=637363866672630000,http://hermanmiller.vteximg.com.br/arquivos/ids/161198/suporte_monitor_Flo_branco_11.jpg?v=637363867113200000,http://hermanmiller.vteximg.com.br/arquivos/ids/161199/suporte_monitor_Flo_branco_12.jpg?v=637363867294170000,http://hermanmiller.vteximg.com.br/arquivos/ids/161200/suporte_monitor_Flo_branco_13.jpg?v=637363867504930000	Herman Miller	Branco	Projetado para a Herman Miller por Colebrook Bosson Saunders, este braço para monitor dinâmico revolucionou a ideia de suporte ergonômico com uma boa engenharia, peças mínimas e um design responsável usando materiais renováveis.     O movimento fluido, dinâmico dos braços para monitor Flo permite ajustar a posição de uma tela com mínimo esforço e máxima precisão. A tecnologia patenteada fornece uma grande amplitude de movimento e controle manual rápido e intuitivo, oferecendo a posição perfeita para se ajustar aos olhos.     A tecnologia de mola geométrica patenteada Flo e o controle manual dinâmico oferecem um alcance ímpar e facilidade de movimentos para cima, para baixo, para frente, para trás, inclinação e rotação para se adequar às suas necessidades.	1000043374709	http://hermanmiller.vteximg.com.br/arquivos/ids/161188/suporte_monitor_Flo_branco_1.jpg?v=637363864802730000	177.08 BRL:12	https://store.hermanmiller.com.br/suporte-de-monitor-y91171-prata/p?idsku=241	Y91171.CM0J	Acessórios > Tecnologia & Escritório		new
346_362	Sofá Can 3 Lugares Cinza	20615.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/161556/8077219279415_CAN-3-lugares_cinza_3.jpg?v=637388192178300000	Herman Miller	Cinza	Com o sofá Can, Ronan e Erwan Bouroullec buscaram ir além da criação de um design prático, elegante e confortável. A intenção é revitalizar toda a ideia do sofá, de algo inerentemente complicado para algo simples, descontraído e acessível. O sofá é entregue desmontado e pode ser montado facilmente em casa a partir de três elementos básicos - estrutura, cobertura e almofadas.	1000043386139	http://hermanmiller.vteximg.com.br/arquivos/ids/161556/8077219279415_CAN-3-lugares_cinza_3.jpg?v=637388192178300000	1717.92 BRL:12	https://store.hermanmiller.com.br/sofa-can-3-lugares-cinza-8077219279415_pai/p?idsku=362	8077219279415	Assentos > Sofás		new
427_523	Bule de Café Sowden 800ml Verde Menta	1400.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/163577/506890_01.png?v=637703340134200000,http://hermanmiller.vteximg.com.br/arquivos/ids/163604/506890_02.jpg?v=637703340263230000,http://hermanmiller.vteximg.com.br/arquivos/ids/163622/506890_03.jpg?v=637703340345100000	Herman Miller	Verde Menta	George Sowden estudou arquitetura na Gloucestershire College of Art. Na década de 1970, Sowden mudou-se para Milão para trabalhar com nomes como Ettore Sottsass e Olivetti, e nos anos 1980 tornou-se um dos fundadores do coletivo de design Memphis Group. Ele venceu inúmeros prêmios de design, incluindo o prestigioso Prêmio Compasso d'Oro. Hoje, continua morando e trabalhando em Milão. Para a HAY, Sowden criou o Bule de Café e Chá, a Garrafa Sowden, o Copo Travel, e outros itens da linha Sowden.	5710441252672	http://hermanmiller.vteximg.com.br/arquivos/ids/163577/506890_01.png?v=637703340134200000	116.67 BRL:12	https://store.hermanmiller.com.br/bule-de-cafe-sowden-800ml-verde-menta-506890_pai/p?idsku=523	506890	Decor & Lifestyle > Pessoal		new
127_146	Cadeira Cosm Baixa Carbono Sem Braço	10225.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/159212/Carbono.jpg?v=636972529711030000	Herman Miller	Carbono	Sente-se em uma cadeira Cosm. Você vai até esquecer de que está sentado em uma cadeira. Com um design sofisticado e ergonômico, ela responde imediatamente ao seu corpo, aos seus movimentos e à sua postura, de modo a proporcionar um equilíbrio natural e um suporte completo.   Sem a necessidade de ajustes, a inclinação Auto-Harmonic da Cosm coloca a pessoa em primeiro lugar e responde a ela — independentemente da postura — oferecendo uma reclinação equilibrada e conforto personalizado. O Studio 7.5 e a Herman Miller aperfeiçoaram a inclinação com ajuste automático, inventando um mecanismo de ajuste complexo, de ajuste fino. Levando em conta a força vertical da pessoa que está sentada — que está em constante fluxo — as engrenagens dentro da inclinação movem o ponto de apoio ao longo da mola em forma de folha para ajustar automaticamente a tensão da cadeira.   Com sua suspensão contínua e forma escultural, a cadeira parece ser um único objeto unificado, e não uma coleção de peças e partes. Esse senso de unidade também se reflete em sua composição material.	1000041499732	http://hermanmiller.vteximg.com.br/arquivos/ids/159212/Carbono.jpg?v=636972529711030000	852.08 BRL:12	https://store.hermanmiller.com.br/cadeira-cosm-baixa-flc_baixa/p?idsku=146	FLC142SFNCRBCRBCRBOC84502	Assentos > Cadeiras para Trabalho		new
440_510	Lixeira Bin 12l Vermelho	365.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/163564/540654_01.png?v=637703340073330000,http://hermanmiller.vteximg.com.br/arquivos/ids/163594/540654_02.jpg?v=637703340215870000,http://hermanmiller.vteximg.com.br/arquivos/ids/163617/540654_03.jpg?v=637703340322230000,http://hermanmiller.vteximg.com.br/arquivos/ids/163631/540654_04.jpg?v=637703340384670000	Herman Miller	Vermelho	Clara von Zweigbergk combina cores contrastantes e uma técnica de dobradura inclinada para criar lixeiras de papel divertidas e  coloridas que iluminam qualquer ambiente. Feita de papel reciclado FSC, a Lixeira de Papel Bin conta com um revestimento de proteção que permite que seja utilizada para outros tipos de resíduos, além de desempenhar funções de decoração e armazenamento. Disponível em diversas combinações diferentes de  cores.  Clara von Zweigbergk é uma designer gráfica e diretora de arte de Estocolmo, na Suécia. Ela estudou na Beckmans School of Design, em Estocolmo, e no Art Centre College of Design, em Pasadena, nos EUA. Sua experiência de trabalho é abrangente, incluindo agências de publicidade e estúdios multidisciplinares de design. Após um período trabalhando em Milão, ela voltou para a Suécia para abrir seu próprio estúdio de design. Seu trabalho é internacionalmente reconhecido e já conquistou inúmeros prêmios de design. O trabalho de Zweigbergk é caracterizado pela simplicidade, equilíbrio, e um domínio excepcional das cores. Para a HAY, ela criou os produtos Kaleido, Playing Cards, Bandeja Ellipse, Pocket Mirror, Lixeira Paper Bin, Measure e a Coleção Iris.	5710441280996	http://hermanmiller.vteximg.com.br/arquivos/ids/163564/540654_01.png?v=637703340073330000	52.14 BRL:7	https://store.hermanmiller.com.br/lixeira-bin-12l-vermelho-540654_pai/p?idsku=510	540654	Acessórios > Organizadores		new
119_98	Cadeira Aeron B Grafite	10827.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/158847/aeron-grafite-B-AER1B23DW-0003_1.jpg?v=636905220049400000,http://hermanmiller.vteximg.com.br/arquivos/ids/158848/aeron-grafite-B-AER1B23DW-0003_2.jpg?v=636905220170300000,http://hermanmiller.vteximg.com.br/arquivos/ids/158849/aeron-grafite-B-AER1B23DW-0003_3.jpg?v=636905220313470000,http://hermanmiller.vteximg.com.br/arquivos/ids/158850/aeron-grafite-B-AER1B23DW-0003_4.jpg?v=636905220454170000,http://hermanmiller.vteximg.com.br/arquivos/ids/158851/aeron-grafite-B-AER1B23DW-0003_5.jpg?v=636905220594700000,http://hermanmiller.vteximg.com.br/arquivos/ids/158852/aeron-grafite-B-AER1B23DW-0003_6.jpg?v=636905220721800000	Herman Miller	Grafite	Embora sua forma icônica permaneça inalterada, a Aeron foi remasterizada incorporando melhorias tecnológicas e ergonômicas para aprimorar seu design benéfico à saúde.  Cada componente da cadeira Aeron foi projetado para manter o alinhamento e o equilíbrio adequados - independentemente da posição sentada.  O PostureFit SL patenteado são almofadas que fornecem suporte ajustável para a coluna que ajuda seu corpo a imitar sua postura mais forte: em pé, tórax aberto e pélvis ligeiramente inclinada para a frente.  De uma inclinação para frente para digitação, ao vertical e a uma reclinação profunda, o mecanismo de inclinação Harmonic 2 de última geração da Aeron se move com você naturalmente e oferece suporte a toda a sua amplitude de movimento.   Faça o ajuste fino do Aeron ainda mais com seus braços totalmente ajustáveis, altura do assento, profundidade e reclinação.  Pellicle é uma suspensão elastomérica que elimina os pontos de pressão que restringem a circulação com oito áreas de tensões que envolvem a pessoa e oferecem suporte ergonômico além de manter a temperatura do corpo estável.  Criada com quatro elementosA Aeron está disponível em uma paleta meticulosamente curada que expressa quatro materiais, elementos esses que podem ser encontrados no solo. O ônix é um tom bem preto e dramático que moderniza a Aeron. O grafite é um cinza escuro que se destaca e que possui um acabamento texturizado clássico. O carbono oferece um toque neutro equilibrado que funciona igualmente bem em ambientes frios e quentes. O mineral é o tom mais leve e ressalta os pontos mais finos da Aeron. Ele é ideal para andares e espaços abertos.   Cada componente da cadeira foi cuidadosamente projetado, o que cria uma paleta de cores fundamentalmente harmoniosa.	1000041249016	http://hermanmiller.vteximg.com.br/arquivos/ids/158847/aeron-grafite-B-AER1B23DW-0003_1.jpg?v=636905220049400000	902.25 BRL:12	https://store.hermanmiller.com.br/cadeira-aeron-aer-grafite/p?idsku=98		Assentos > Cadeiras para Trabalho		new
328_334	Mesa Copenhague 30 Jantar Retangular 199cm Matte	22760.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/161080/Mesa-Copenhague-Jantar-Retangular-199cm-Matte.jpg?v=637363283261670000	Herman Miller	Matte	Parte da linha Copenhague criada por Ronan e Erwan Bouroullec, a CPH 30 compartilha dos mesmos pés inclinados característicos e da identidade forte consistente com o restante da coleção. No entanto, ela se destaca por seu tampo contrastante. Ideal para uso como mesa de trabalho, de reuniões ou de jantar em um contexto de escritório ou em ambiente particular. Está disponível em diversos tamanhos, com estrutura de carvalho com várias opções de acabamento, e o tampo oferece uma série de opções de madeira ou linóleo.	1000043384623	http://hermanmiller.vteximg.com.br/arquivos/ids/161080/Mesa-Copenhague-Jantar-Retangular-199cm-Matte.jpg?v=637363283261670000	1896.67 BRL:12	https://store.hermanmiller.com.br/mesa-copenhague-jantar-retangular-199cm-cph307935-0001_pai/p?idsku=334	CPH307935MSOMOVMPE	Mesas > Mesas de Jantar		new
119_506	Cadeira Aeron Onyx C	12033.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/162554/AERON_ONYX_1.png?v=637701521683830000,http://hermanmiller.vteximg.com.br/arquivos/ids/162555/AERON_ONYX_2.png?v=637701521965800000,http://hermanmiller.vteximg.com.br/arquivos/ids/162556/AERON_ONYX_3.png?v=637701522064800000,http://hermanmiller.vteximg.com.br/arquivos/ids/162557/AERON_ONYX_4.png?v=637701522196930000,http://hermanmiller.vteximg.com.br/arquivos/ids/162558/AERON_ONYX_5.png?v=637701522305970000,http://hermanmiller.vteximg.com.br/arquivos/ids/162559/AERON_ONYX_6.png?v=637701522461970000,http://hermanmiller.vteximg.com.br/arquivos/ids/162560/AERON_ONYX_7.png?v=637701522608930000	Herman Miller	Onyx	Embora sua forma icônica permaneça inalterada, a Aeron foi remasterizada incorporando melhorias tecnológicas e ergonômicas para aprimorar seu design benéfico à saúde.  Cada componente da cadeira Aeron foi projetado para manter o alinhamento e o equilíbrio adequados - independentemente da posição sentada.  O PostureFit SL patenteado são almofadas que fornecem suporte ajustável para a coluna que ajuda seu corpo a imitar sua postura mais forte: em pé, tórax aberto e pélvis ligeiramente inclinada para a frente.  De uma inclinação para frente para digitação, ao vertical e a uma reclinação profunda, o mecanismo de inclinação Harmonic 2 de última geração da Aeron se move com você naturalmente e oferece suporte a toda a sua amplitude de movimento.   Faça o ajuste fino do Aeron ainda mais com seus braços totalmente ajustáveis, altura do assento, profundidade e reclinação.  Pellicle é uma suspensão elastomérica que elimina os pontos de pressão que restringem a circulação com oito áreas de tensões que envolvem a pessoa e oferecem suporte ergonômico além de manter a temperatura do corpo estável.  Criada com quatro elementosA Aeron está disponível em uma paleta meticulosamente curada que expressa quatro materiais, elementos esses que podem ser encontrados no solo. O ônix é um tom bem preto e dramático que moderniza a Aeron. O grafite é um cinza escuro que se destaca e que possui um acabamento texturizado clássico. O carbono oferece um toque neutro equilibrado que funciona igualmente bem em ambientes frios e quentes. O mineral é o tom mais leve e ressalta os pontos mais finos da Aeron. Ele é ideal para andares e espaços abertos.   Cada componente da cadeira foi cuidadosamente projetado, o que cria uma paleta de cores fundamentalmente harmoniosa.	1000043589745	http://hermanmiller.vteximg.com.br/arquivos/ids/162554/AERON_ONYX_1.png?v=637701521683830000	1002.75 BRL:12	https://store.hermanmiller.com.br/cadeira-aeron-aer-grafite/p?idsku=506	AER1C23DWALPBKBLXBKC7BK23105	Assentos > Cadeiras para Trabalho		new
54_21	Braço articulável para monitor Flo Prata	2125.00 BRL	in stock	BR	pt	http://hermanmiller.vteximg.com.br/arquivos/ids/159329/Y91171.CM0I_01.jpg?v=636973404703630000,http://hermanmiller.vteximg.com.br/arquivos/ids/159330/Y91171.CM0I_02.jpg?v=636973404923700000,http://hermanmiller.vteximg.com.br/arquivos/ids/159331/Y91171_CM0I_03.jpg?v=636973405165730000,http://hermanmiller.vteximg.com.br/arquivos/ids/159332/Y91171_CM0I_04.jpg?v=636973405533800000,http://hermanmiller.vteximg.com.br/arquivos/ids/159333/Y91171.CM0I_05.jpg?v=636973405663630000,http://hermanmiller.vteximg.com.br/arquivos/ids/159334/Y91171.CM0I_06.jpg?v=636973405861830000,http://hermanmiller.vteximg.com.br/arquivos/ids/159335/Y91171_CM0I_07.jpg?v=636973406005400000,http://hermanmiller.vteximg.com.br/arquivos/ids/159336/mesa_envelop_9.jpg?v=636973406359130000	Herman Miller	Prata	Projetado para a Herman Miller por Colebrook Bosson Saunders, este braço para monitor dinâmico revolucionou a ideia de suporte ergonômico com uma boa engenharia, peças mínimas e um design responsável usando materiais renováveis.     O movimento fluido, dinâmico dos braços para monitor Flo permite ajustar a posição de uma tela com mínimo esforço e máxima precisão. A tecnologia patenteada fornece uma grande amplitude de movimento e controle manual rápido e intuitivo, oferecendo a posição perfeita para se ajustar aos olhos.     A tecnologia de mola geométrica patenteada Flo e o controle manual dinâmico oferecem um alcance ímpar e facilidade de movimentos para cima, para baixo, para frente, para trás, inclinação e rotação para se adequar às suas necessidades.	1000041120988	http://hermanmiller.vteximg.com.br/arquivos/ids/159329/Y91171.CM0I_01.jpg?v=636973404703630000	177.08 BRL:12	https://store.hermanmiller.com.br/suporte-de-monitor-y91171-prata/p?idsku=21	Y91171.CM0I	Acessórios > Tecnologia & Escritório		new
